FID,Id,X,Y,DEM,WaterSys_Dis,Faults_Dis
123,0,12158168.509099999442697,4348979.639259999617934,1312.349999999999909,12041.239657315340082,120550.402734375005821
124,0,12158323.240499999374151,4348981.999680000357330,1310.750000000000000,11977.286976207386033,120522.867578125005821
125,0,12158477.971999999135733,4348984.358249999582767,1308.599999999999909,11924.770214843749272,120495.291796874997090
126,0,12158632.703700000420213,4348986.714990000240505,1312.500000000000000,11874.285302734375364,120469.089843750000000
127,0,12158787.435599999502301,4348989.069889999926090,1308.818181818181756,11825.487646484374636,120434.056107954544132
128,0,12158942.167600000277162,4348991.422939999960363,1304.863636363636260,11778.397998046875728,120408.258593749997090
129,0,12159096.899800000712276,4348993.774159999564290,1304.450000000000045,11733.829194568452294,120381.441015624994179
130,0,12159251.632200000807643,4348996.123530000448227,1303.047619047619037,11682.390709918478024,120354.619531250005821
131,0,12159406.364700000733137,4348998.471060000360012,1307.700000000000045,11639.427685546874272,120323.488467261908227
132,0,12159561.097300000488758,4349000.816750000230968,1303.200000000000045,11599.731787109374636,120270.393750000002910
133,0,12159715.830199999734759,4349003.160609999671578,1299.599999999999909,11561.845996093750728,120240.132486979171517
134,0,12159870.563200000673532,4349005.502620000392199,1300.583333333333258,11522.163085937500000,120210.083203125002910
135,0,12160025.296299999579787,4349007.842779999598861,1300.000000000000000,11452.752464657738528,120182.958984375000000
136,0,12160180.029699999839067,4349010.181110000237823,1302.799999999999955,11400.761108398437500,120156.015625000000000
137,0,12160334.763199999928474,4349012.517599999904633,1299.650000000000091,11355.156396484375364,120129.241015624997090
138,0,12160489.496799999848008,4349014.852239999920130,1300.799999999999955,11315.656445312499272,120102.362109374997090
139,0,12160644.230599999427795,4349017.185050000436604,1295.849999999999909,11278.013183593750000,120072.877604166671517
140,0,12160798.964600000530481,4349019.516010000370443,1290.500000000000000,11242.245654296875728,120043.336328125005821
141,0,12160953.698699999600649,4349021.845130000263453,1291.099999999999909,11208.371582031250000,120016.098437499997090
142,0,12161108.433000000193715,4349024.172419999726117,1293.099999999999909,11175.934315557065929,119988.446484375002910
143,0,12161263.167500000447035,4349026.497859999537468,1291.904761904761926,11139.329334077381645,119960.971875000002910
144,0,12161417.902100000530481,4349028.821460000239313,1293.200000000000045,11112.893554687500000,119924.287574404763291
145,0,12161572.636900000274181,4349031.143210000358522,1291.450000000000045,11087.150439453125728,119878.394345238091773
146,0,12161727.371799999848008,4349033.463130000047386,1287.142857142857110,11063.381445312499636,119844.932744565216126
147,0,12161882.106899999082088,4349035.781209999695420,1284.565217391304259,11037.667643229166060,119817.987109374997090
148,0,12162036.842199999839067,4349038.097439999692142,1289.500000000000000,10992.052294921875728,119791.069140624997090
149,0,12162191.577600000426173,4349040.411840000189841,1281.750000000000000,10972.595703125000000,119763.604296874997090
150,0,12162346.313200000673532,4349042.724390000104904,1279.750000000000000,10955.515380859375000,119736.003125000002910
151,0,12162501.048900000751019,4349045.035099999979138,1279.549999999999955,10942.157958984375000,119708.582812499997090
152,0,12162655.784800000488758,4349047.343980000354350,1277.299999999999955,10930.842626953124636,119678.634765625000000
153,0,12162810.520899999886751,4349049.651010000146925,1275.166666666666742,10921.575927734375000,119648.898828125005821
154,0,12162965.257099999114871,4349051.956190000288188,1276.349999999999909,10914.363183593750364,119622.061718750002910
155,0,12163119.993499999865890,4349054.259539999999106,1274.150000000000091,10908.843831380208940,119595.262499999997090
156,0,12163274.730100000277162,4349056.561049999669194,1273.049999999999955,10905.742773437499636,119568.227734375002910
157,0,12163429.466800000518560,4349058.860709999687970,1271.900000000000091,10905.049414062499636,119531.218750000000000
158,0,12163584.203600000590086,4349061.158540000207722,1270.450000000000045,10906.114160156250364,119480.834960937500000
159,0,12163738.940600000321865,4349063.454520000144839,1272.250000000000000,10909.208203124999272,119450.759765625000000
160,0,12163893.677799999713898,4349065.748660000041127,1272.000000000000000,10910.917410714286234,119423.613281250000000
161,0,12164048.415200000628829,4349068.040970000438392,1272.150000000000091,10894.820312500000000,119396.650390625000000
162,0,12164203.152699999511242,4349070.331430000253022,1272.200000000000045,10899.737881747159918,119369.864843749994179
163,0,12164357.890300000086427,4349072.620040000416338,1274.049999999999955,10914.775390625000000,119343.003125000002910
164,0,12164512.628100000321865,4349074.906820000149310,1275.500000000000000,10928.577978515624636,119317.398792613632395
