FID,Id,X,Y,DEM,Eq_Dis,Faults_Dis,Aspect,Comp_Cur,WaterSys_Dis,Plan_Cur,Prof_Cur,Slope
105,0,12161295.55,4432541.92,1541,29316.90039,37915.89844,135,0.444444,4027.159912,0.361111,-0.0833333,3.7086201
106,0,12161325.55,4432541.92,1539,29315.40039,37909.19922,93.0128021,0.333333,3997.209961,0.222222,-0.111111,4.5327101
107,0,12161355.55,4432541.92,1536,29313.90039,37902.5,79.6951981,0.222222,3967.27002,0.2,-0.0222222,5.3228502
108,0,12161385.55,4432541.92,1533,29312.5,37895.89844,80.5376968,-0.222222,3937.320068,0,0.222222,2.9018199
109,0,12161415.55,4432541.92,1532,29311.09961,37889.30078,180,-0.444444,3907.379883,0,0,0.477454
110,0,12161445.55,4432541.92,1533,29309.69922,37882.5,125.538002,0.333333,3877.429932,0.244444,-0.0888889,2.0527799
111,0,12161475.55,4432541.92,1531,29308.40039,37875.69922,97.125,0.111111,3847.48999,0.156863,0.0457516,3.8436699
112,0,12161505.55,4432541.92,1529,29307.09961,37868.80078,78.6901016,0,3817.550049,-0.0222222,-0.0222222,3.64697
113,0,12161535.55,4432541.92,1527,29305.80078,37862,97.125,0,3787.610107,0,0,3.8436699
114,0,12161565.55,4432541.92,1525,29304.59961,37855.19922,124.9919968,0.111111,3757.669922,-0.119241,-0.230352,5.8082199
115,0,12161595.55,4432541.92,1522,29303.40039,37848.39844,155.2250061,-0.333333,3727.729981,-0.4,-0.0666667,6.80409
116,0,12161625.55,4432541.92,1522,29302.19922,37841.60156,194.7440033,-0.333333,3697.800049,-0.214067,0.119266,9.2981997
117,0,12161655.55,4432541.92,1525,29301,37834.89844,202.8910065,0.222222,3667.860107,0.0666667,-0.155556,11.5042
118,0,12161685.55,4432541.92,1528,29299.90039,37828.10156,200.8540039,0.666667,3637.929932,0.103501,-0.563166,10.6068001
119,0,12161715.55,4432541.92,1530,29298.80078,37821.39844,185.5279999,1,3607.98999,0.290598,-0.709402,7.39396
120,0,12161745.55,4432541.92,1529,29297.80078,37814.80078,153.4349976,0.666667,3578.060059,0.311111,-0.355556,4.2626901
121,0,12161775.55,4432541.92,1528,29296.69922,37808.10156,104.0360031,0.666667,3548.129883,0.666667,0,1.96786
122,0,12161805.55,4432541.92,1527,29295.69922,37801.5,51.3401985,0.777778,3518.199951,0.393162,-0.384615,3.0543699
123,0,12161835.55,4432541.92,1525,29294.80078,37794.89844,34.6952019,0.333333,3488.27002,0.0622222,-0.271111,3.7692399
124,0,12161865.55,4432541.92,1524,29293.80078,37788.10156,11.3099003,0.222222,3458.340088,-0.0833333,-0.305556,3.64697
125,0,12161895.55,4432541.92,1524,29292.90039,37781.19922,25.3462009,0.666667,3428.409912,0.259804,-0.406863,5.0062799
126,0,12161925.55,4432541.92,1521,29292,37774.30078,24.7751007,-0.222222,3398.479981,-0.25641,-0.034188,6.80409
127,0,12161955.55,4432541.92,1520,29291.19922,37767.5,356.1860046,-0.333333,3368.560059,-0.222222,0.111111,7.1406698
128,0,12161985.55,4432541.92,1521,29290.40039,37760.69922,6.3401899,0.111111,3338.639893,0.345345,0.234234,6.4579501
129,0,12162015.55,4432541.92,1519,29289.59961,37753.89844,38.4180984,0,3308.719971,-0.138889,-0.138889,8.7672501
130,0,12162045.55,4432541.92,1515,29288.90039,37747.19922,31.7595005,-0.444444,3278.800049,-0.376471,0.0679739,11.6301003
131,0,12162075.55,4432541.92,1512,29288.09961,37740.39844,18.4349003,-0.555556,3248.879883,-0.219206,0.33635,13.3423996
132,0,12162105.55,4432541.92,1510,29287.40039,37733.69922,15.9454002,-0.555556,3218.959961,-0.0092208,0.546335,13.6402998
133,0,12162135.55,4432541.92,1508,29286.80078,37727,27.5527992,-0.222222,3189.040039,0.266667,0.488889,12.1988001
