FID,Name,X,Y,Depth,Cls,DEM,WaterSys_Dis,Slope,Plan_Cur,Prof_Cur,Comp_Cur,Aspect,Faults_Dis,Eq_Dis
70,H13,12161220.000000000000000,4434999.345999999903142,70,3,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
71,H13,12161220.000000000000000,4434999.345999999903142,71,3,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
72,H13,12161220.000000000000000,4434999.345999999903142,72,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
73,H13,12161220.000000000000000,4434999.345999999903142,73,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
74,H13,12161220.000000000000000,4434999.345999999903142,74,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
75,H13,12161220.000000000000000,4434999.345999999903142,75,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
76,H13,12161220.000000000000000,4434999.345999999903142,76,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
77,H13,12161220.000000000000000,4434999.345999999903142,77,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
78,H13,12161220.000000000000000,4434999.345999999903142,78,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
79,H13,12161220.000000000000000,4434999.345999999903142,79,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
80,H13,12161220.000000000000000,4434999.345999999903142,80,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
81,H13,12161220.000000000000000,4434999.345999999903142,81,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
82,H13,12161220.000000000000000,4434999.345999999903142,82,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
83,H13,12161220.000000000000000,4434999.345999999903142,83,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
84,H13,12161220.000000000000000,4434999.345999999903142,84,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
85,H13,12161220.000000000000000,4434999.345999999903142,85,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
86,H13,12161220.000000000000000,4434999.345999999903142,86,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
87,H13,12161220.000000000000000,4434999.345999999903142,87,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
88,H13,12161220.000000000000000,4434999.345999999903142,88,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
89,H13,12161220.000000000000000,4434999.345999999903142,89,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
90,H13,12161220.000000000000000,4434999.345999999903142,90,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
91,H13,12161220.000000000000000,4434999.345999999903142,91,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
92,H13,12161220.000000000000000,4434999.345999999903142,92,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
93,H13,12161220.000000000000000,4434999.345999999903142,93,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
94,H13,12161220.000000000000000,4434999.345999999903142,94,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
95,H13,12161220.000000000000000,4434999.345999999903142,95,5,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
